folder,examples,preprocess_time,fft_time,postprocess_time,baseline_time,RRE,RTE
7-scenes-redkitchen,4 5,0:00:00.094558,0:00:21.024114,0:00:00.005704,0:00:21.133818,2.7380382205810436,0.08880779206174912
7-scenes-redkitchen,4 6,0:00:00.089361,0:00:16.697507,0:00:00.005806,0:00:16.803313,4.583175095349094,0.2511037767099751
7-scenes-redkitchen,4 7,0:00:00.084982,0:00:17.574508,0:00:00.005804,0:00:17.674923,4.006677714387485,0.06578997184838534
7-scenes-redkitchen,4 9,0:00:00.103961,0:00:24.227926,0:00:00.005847,0:00:24.350672,1.9081111189567435,0.059660028175442956
7-scenes-redkitchen,4 10,0:00:00.085506,0:00:18.762380,0:00:00.005724,0:00:18.866649,3.702016797847407,0.13054147248533776
7-scenes-redkitchen,4 11,0:00:00.086920,0:00:17.905972,0:00:00.005951,0:00:18.012051,1.8698832721209053,0.07482877528632498
7-scenes-redkitchen,4 12,0:00:00.082181,0:00:16.088558,0:00:00.005816,0:00:16.186140,6.887993821367036,0.15585230348740964
7-scenes-redkitchen,4 13,0:00:00.077633,0:00:13.765425,0:00:00.005916,0:00:13.862156,3.248928958409594,0.07767544313868514
7-scenes-redkitchen,4 14,0:00:00.075875,0:00:13.170355,0:00:00.005842,0:00:13.265471,2.1104219593626072,0.119849758990631
7-scenes-redkitchen,4 15,0:00:00.077775,0:00:13.806558,0:00:00.005834,0:00:13.902910,6.315375980550235,0.14237540723521516
7-scenes-redkitchen,4 18,0:00:00.111289,0:00:25.395982,0:00:00.005847,0:00:25.525921,4.930388881314733,0.06650255477502139
7-scenes-redkitchen,4 19,0:00:00.095729,0:00:21.531093,0:00:00.005844,0:00:21.645796,7.8006460884946485,0.10570904880887319
7-scenes-redkitchen,4 25,0:00:00.099552,0:00:20.935246,0:00:00.005883,0:00:21.051184,2.9012373281759163,0.1300728347945657
7-scenes-redkitchen,4 26,0:00:00.108806,0:00:24.610575,0:00:00.005771,0:00:24.735217,3.021201777094242,0.10924609448451257
7-scenes-redkitchen,4 27,0:00:00.113666,0:00:28.840986,0:00:00.005768,0:00:28.971152,93.59580416114053,3.4736945630596323
7-scenes-redkitchen,4 37,0:00:00.095139,0:00:23.809770,0:00:00.005643,0:00:23.924328,6.279031461815241,0.1326695257633483
7-scenes-redkitchen,4 38,0:00:00.086994,0:00:18.798450,0:00:00.005695,0:00:18.907436,14.08057317701677,0.509536871577746
7-scenes-redkitchen,4 39,0:00:00.111171,0:00:22.177341,0:00:00.005701,0:00:22.307374,9.710384532558907,0.23549355856261503
7-scenes-redkitchen,5 6,0:00:00.084718,0:00:16.984797,0:00:00.005834,0:00:17.085152,5.609694794962397,0.06717880672770185
7-scenes-redkitchen,5 7,0:00:00.084089,0:00:17.613979,0:00:00.005777,0:00:17.713168,3.454308497372517,0.07423502511246023
7-scenes-redkitchen,5 8,0:00:00.105067,0:00:24.571934,0:00:00.005743,0:00:24.696689,5.455026851412991,0.701163251024579
7-scenes-redkitchen,5 9,0:00:00.114234,0:00:25.708896,0:00:00.005881,0:00:25.839006,4.751344276203234,0.1442111331381463
7-scenes-redkitchen,5 10,0:00:00.088891,0:00:18.825171,0:00:00.006035,0:00:18.930036,3.243876134351621,0.04927953523697612
7-scenes-redkitchen,5 11,0:00:00.092839,0:00:17.969868,0:00:00.005732,0:00:18.081703,2.7168707437778297,0.06692904502113478
7-scenes-redkitchen,5 12,0:00:00.082606,0:00:16.292210,0:00:00.005928,0:00:16.390192,7.14209775850558,0.058227388483660394
7-scenes-redkitchen,5 15,0:00:00.075716,0:00:13.722797,0:00:00.005831,0:00:13.818854,1.5423484446400078,0.024176226218153785
7-scenes-redkitchen,5 16,0:00:00.084512,0:00:17.092686,0:00:00.005662,0:00:17.195843,3.9815227029139355,0.16247814986318276
7-scenes-redkitchen,5 17,0:00:00.098728,0:00:23.212464,0:00:00.005894,0:00:23.326583,6.385335302934207,0.08630457505368666
7-scenes-redkitchen,5 18,0:00:00.116612,0:00:26.711146,0:00:00.005614,0:00:26.842939,5.416110404556012,0.18025709418290686
7-scenes-redkitchen,5 19,0:00:00.103613,0:00:21.356366,0:00:00.005877,0:00:21.478931,4.498882176288102,0.07527271705251276
7-scenes-redkitchen,5 20,0:00:00.099369,0:00:21.758069,0:00:00.006724,0:00:21.873732,2.710410301850475,0.1651097919848583
7-scenes-redkitchen,5 25,0:00:00.127535,0:00:20.984751,0:00:00.005596,0:00:21.132340,4.082797788282938,0.222141601034755
7-scenes-redkitchen,5 26,0:00:00.102715,0:00:24.414546,0:00:00.005776,0:00:24.536680,5.17941825968568,0.19158355020183543
7-scenes-redkitchen,5 36,0:00:00.109499,0:00:24.906008,0:00:00.006045,0:00:25.036119,15.568941001579997,0.15592078948158497
7-scenes-redkitchen,5 37,0:00:00.104196,0:00:23.865376,0:00:00.005745,0:00:23.985415,5.065842694116636,0.11583275521019999
7-scenes-redkitchen,5 38,0:00:00.084729,0:00:18.810447,0:00:00.006080,0:00:18.911103,2.5570834589571025,0.10885754444028119
7-scenes-redkitchen,5 39,0:00:00.097180,0:00:22.413123,0:00:00.005821,0:00:22.526049,7.73605142022341,0.154913388167644
7-scenes-redkitchen,6 7,0:00:00.076241,0:00:17.748290,0:00:00.005740,0:00:17.839656,5.075126979441943,0.22322430804460636
7-scenes-redkitchen,6 8,0:00:00.091407,0:00:24.421992,0:00:00.005705,0:00:24.528597,2.640972497627362,0.10284836726383546
7-scenes-redkitchen,6 9,0:00:00.097400,0:00:25.656651,0:00:00.004784,0:00:25.772040,2.3242239099882203,0.07022401767084238
7-scenes-redkitchen,6 10,0:00:00.077388,0:00:18.905489,0:00:00.005766,0:00:19.001643,3.3763629256304775,0.16722730060663116
7-scenes-redkitchen,6 11,0:00:00.074310,0:00:18.058696,0:00:00.005722,0:00:18.148275,3.887526299332796,0.025883973816011235
7-scenes-redkitchen,6 12,0:00:00.071752,0:00:16.318966,0:00:00.005864,0:00:16.409718,1.4922018365564507,0.10412768811945589
7-scenes-redkitchen,6 15,0:00:00.061482,0:00:13.704428,0:00:00.005934,0:00:13.781251,1.583597971949031,0.06445451522044192
7-scenes-redkitchen,6 16,0:00:00.073798,0:00:17.176006,0:00:00.005815,0:00:17.265228,4.41676347256937,0.15766180809923858
7-scenes-redkitchen,6 17,0:00:00.086632,0:00:23.215983,0:00:00.005805,0:00:23.321299,8.64984368070479,0.20273831527906586
7-scenes-redkitchen,6 18,0:00:00.099249,0:00:26.560299,0:00:00.005894,0:00:26.678673,4.481747376788013,0.07114583922037766
7-scenes-redkitchen,6 19,0:00:00.088461,0:00:21.495328,0:00:00.005873,0:00:21.602872,2.740247152437227,0.07985790107471294
7-scenes-redkitchen,6 20,0:00:00.082627,0:00:21.754128,0:00:00.005825,0:00:21.852016,3.1431132762313077,0.143911000374266
7-scenes-redkitchen,6 21,0:00:00.098264,0:00:26.899972,0:00:00.005741,0:00:27.017762,7.366805719499618,0.20872173774465372
7-scenes-redkitchen,6 24,0:00:00.088011,0:00:23.310052,0:00:00.005913,0:00:23.413382,5.135856623016555,0.08609339095504952
7-scenes-redkitchen,6 25,0:00:00.082155,0:00:21.100759,0:00:00.005840,0:00:21.198139,7.256530003040484,0.20274961111754608
7-scenes-redkitchen,6 26,0:00:00.097641,0:00:24.515526,0:00:00.005764,0:00:24.632552,4.534494802939529,0.20122335431876098
7-scenes-redkitchen,6 35,0:00:00.094039,0:00:24.023084,0:00:00.005780,0:00:24.132550,110.9150118322184,3.418192675145704
7-scenes-redkitchen,6 36,0:00:00.095402,0:00:24.997440,0:00:00.005955,0:00:25.112720,10.828491946579426,0.10011467951278602
7-scenes-redkitchen,6 37,0:00:00.090549,0:00:23.790332,0:00:00.005678,0:00:23.900210,6.2332060620006695,0.13538965941391584
7-scenes-redkitchen,6 38,0:00:00.076738,0:00:18.780270,0:00:00.005806,0:00:18.872609,9.368291018836892,0.2022194294460882
7-scenes-redkitchen,6 39,0:00:00.083254,0:00:22.311987,0:00:00.005731,0:00:22.410755,4.790421166657047,0.12458834179703691
7-scenes-redkitchen,6 53,0:00:00.059274,0:00:13.041537,0:00:00.005975,0:00:13.117733,5.060377916988038,0.06472144111724618
7-scenes-redkitchen,6 54,0:00:00.122212,0:00:24.082458,0:00:00.005013,0:00:24.221130,23.320851254544095,0.6267356398109118
7-scenes-redkitchen,6 59,0:00:00.083696,0:00:17.880875,0:00:00.005763,0:00:17.983471,8.640195550137552,0.23477991028849352
7-scenes-redkitchen,7 8,0:00:00.109051,0:00:24.586349,0:00:00.005647,0:00:24.715539,1.8728566302107759,0.026338700499442154
7-scenes-redkitchen,7 9,0:00:00.096303,0:00:24.412942,0:00:00.005792,0:00:24.527935,1.785047243358169,0.05121824101813034
7-scenes-redkitchen,7 10,0:00:00.077492,0:00:19.099970,0:00:00.005827,0:00:19.196276,2.793432055665093,0.09190051971487703
7-scenes-redkitchen,7 11,0:00:00.075507,0:00:18.221244,0:00:00.005857,0:00:18.312343,2.244666159517871,0.10587851066531623
7-scenes-redkitchen,7 15,0:00:00.074367,0:00:14.306121,0:00:00.005911,0:00:14.401386,3.795800930923235,0.062216531136155905
7-scenes-redkitchen,7 16,0:00:00.073528,0:00:17.396781,0:00:00.005856,0:00:17.488979,4.583243894815,0.024804612266525736
7-scenes-redkitchen,7 17,0:00:00.090940,0:00:23.266212,0:00:00.005746,0:00:23.375934,6.932429940442274,0.13142823982740284
7-scenes-redkitchen,7 18,0:00:00.096031,0:00:26.780614,0:00:00.005686,0:00:26.892532,4.112827451160074,0.14812684953923747
7-scenes-redkitchen,7 19,0:00:00.088433,0:00:21.461485,0:00:00.005738,0:00:21.565274,5.014106026565879,0.038538513910411326
7-scenes-redkitchen,7 20,0:00:00.084578,0:00:22.023264,0:00:00.005804,0:00:22.126502,4.004725724237139,0.1464158970597794
7-scenes-redkitchen,7 21,0:00:00.099150,0:00:26.943566,0:00:00.005855,0:00:27.057946,6.155599999978497,0.19652356122998751
7-scenes-redkitchen,7 24,0:00:00.092965,0:00:23.782000,0:00:00.005845,0:00:23.890558,2.3806641734150555,0.06795197630125836
7-scenes-redkitchen,7 25,0:00:00.080893,0:00:21.491926,0:00:00.005915,0:00:21.592728,5.052751925518728,0.17374978580022893
7-scenes-redkitchen,7 26,0:00:00.089883,0:00:24.609119,0:00:00.005720,0:00:24.714312,4.006219947535063,0.0401876321804978
7-scenes-redkitchen,7 35,0:00:00.090965,0:00:24.579277,0:00:00.006023,0:00:24.689252,84.37392929162397,2.866845929894167
7-scenes-redkitchen,7 36,0:00:00.083140,0:00:25.268071,0:00:00.005846,0:00:25.369896,7.757997076384531,0.24656836497394566
7-scenes-redkitchen,7 37,0:00:00.087403,0:00:23.955851,0:00:00.005869,0:00:24.062658,6.047175248271672,0.22772201922185498
7-scenes-redkitchen,7 38,0:00:00.076270,0:00:19.164792,0:00:00.005785,0:00:19.256767,10.189370741007021,0.2884244171695774
7-scenes-redkitchen,7 39,0:00:00.086306,0:00:22.403244,0:00:00.005866,0:00:22.508308,6.584250684316226,0.15925310008763235
7-scenes-redkitchen,7 53,0:00:00.073416,0:00:13.265121,0:00:00.005955,0:00:13.359914,17.11831513866608,0.47694680827762215
7-scenes-redkitchen,7 54,0:00:00.098272,0:00:24.193476,0:00:00.005866,0:00:24.310977,179.35002941669376,4.538954143357878
7-scenes-redkitchen,7 58,0:00:00.074191,0:00:16.860559,0:00:00.005753,0:00:16.953843,13.267756926030994,0.1485068163468957
7-scenes-redkitchen,7 59,0:00:00.073441,0:00:18.500234,0:00:00.005777,0:00:18.591413,13.1637813586338,0.22555311013497775
7-scenes-redkitchen,8 9,0:00:00.116798,0:00:24.531209,0:00:00.005975,0:00:24.663644,1.6358490359839857,0.015697959265081655
7-scenes-redkitchen,8 16,0:00:00.085905,0:00:17.459843,0:00:00.005816,0:00:17.561267,4.641123497774151,0.23698380113072678
7-scenes-redkitchen,8 17,0:00:00.109647,0:00:23.313010,0:00:00.005813,0:00:23.441636,5.344581307907533,0.11528624124599855
7-scenes-redkitchen,8 18,0:00:00.116266,0:00:26.836052,0:00:00.005820,0:00:26.971021,4.337526249411602,0.04843665634608437
7-scenes-redkitchen,8 19,0:00:00.103113,0:00:21.617426,0:00:00.005831,0:00:21.735983,3.3075747866789036,0.0978482112454077
7-scenes-redkitchen,8 20,0:00:00.106315,0:00:22.097592,0:00:00.005880,0:00:22.219895,4.222438896205173,0.07849055166325901
7-scenes-redkitchen,8 21,0:00:00.119431,0:00:27.091611,0:00:00.005790,0:00:27.230067,5.108083822453407,0.22607348919621437
7-scenes-redkitchen,8 22,0:00:00.116524,0:00:25.416454,0:00:00.005975,0:00:25.551983,6.217024220556493,0.2556650176340767
7-scenes-redkitchen,8 23,0:00:00.117771,0:00:25.315386,0:00:00.005888,0:00:25.451727,7.374447617101528,0.054498107862921245
7-scenes-redkitchen,8 24,0:00:00.116555,0:00:23.462880,0:00:00.005926,0:00:23.598132,3.5156276974480374,0.08128477369753322
7-scenes-redkitchen,8 25,0:00:00.102963,0:00:21.161195,0:00:00.005847,0:00:21.282972,6.654783760546247,0.23165988224865317
7-scenes-redkitchen,8 35,0:00:00.112640,0:00:24.075735,0:00:00.005773,0:00:24.207424,15.261847342654761,0.6599974470227445
7-scenes-redkitchen,8 36,0:00:00.125239,0:00:25.008646,0:00:00.005802,0:00:25.149138,7.951377537306591,0.3972352497385649
7-scenes-redkitchen,8 37,0:00:00.109610,0:00:23.807662,0:00:00.005792,0:00:23.936323,4.915130494847406,0.14969001255257763
7-scenes-redkitchen,8 39,0:00:00.104341,0:00:22.521654,0:00:00.005797,0:00:22.641454,5.257110065195545,0.225535638948047
7-scenes-redkitchen,8 54,0:00:00.112154,0:00:24.321346,0:00:00.005958,0:00:24.452597,6.118020392283626,0.18892205746425708
7-scenes-redkitchen,8 59,0:00:00.096376,0:00:18.392853,0:00:00.005795,0:00:18.510965,11.895304089320003,0.32331574878507247
7-scenes-redkitchen,9 10,0:00:00.107397,0:00:19.293272,0:00:00.005819,0:00:19.419654,3.7197758764955107,0.1364808537037395
7-scenes-redkitchen,9 11,0:00:00.097267,0:00:18.333301,0:00:00.005839,0:00:18.445903,1.9738068153768054,0.07376206300759797
7-scenes-redkitchen,9 16,0:00:00.096358,0:00:17.558088,0:00:00.005911,0:00:17.674046,11.018253057212274,0.10994797282839607
7-scenes-redkitchen,9 17,0:00:00.111550,0:00:23.373762,0:00:00.005788,0:00:23.500707,9.627484443005692,0.11830727274578359
7-scenes-redkitchen,9 18,0:00:00.123884,0:00:26.820760,0:00:00.005956,0:00:26.960172,4.238378234340356,0.08616137165285088
7-scenes-redkitchen,9 19,0:00:00.109299,0:00:21.775436,0:00:00.005773,0:00:21.903241,5.602257556569116,0.16260492429415588
7-scenes-redkitchen,9 20,0:00:00.107557,0:00:22.047759,0:00:00.005916,0:00:22.174148,5.108982715224695,0.10239558129567636
7-scenes-redkitchen,9 21,0:00:00.125079,0:00:27.245332,0:00:00.005739,0:00:27.385904,5.967085217493695,0.27307219295290636
7-scenes-redkitchen,9 24,0:00:00.115823,0:00:23.579893,0:00:00.005937,0:00:23.711097,6.966137837245379,0.0943153082626924
7-scenes-redkitchen,9 25,0:00:00.114073,0:00:21.393981,0:00:00.005782,0:00:21.523779,7.211440406685256,0.12622045655540787
7-scenes-redkitchen,9 26,0:00:00.116171,0:00:24.762683,0:00:00.005830,0:00:24.898106,8.334241231443494,0.2237367639880326
7-scenes-redkitchen,9 35,0:00:00.117542,0:00:24.215271,0:00:00.005801,0:00:24.352136,7.220402542178044,0.2103716144068811
7-scenes-redkitchen,9 36,0:00:00.116140,0:00:25.098495,0:00:00.005738,0:00:25.230540,3.509508531798885,0.07862370273611564
7-scenes-redkitchen,9 37,0:00:00.121334,0:00:23.891547,0:00:00.005957,0:00:24.031971,14.242568554310386,0.2802722763009924
7-scenes-redkitchen,9 38,0:00:00.102509,0:00:19.490730,0:00:00.005769,0:00:19.612236,7.892520450913041,0.16215098420915156
7-scenes-redkitchen,9 39,0:00:00.111881,0:00:22.367143,0:00:00.005780,0:00:22.499283,5.7407614424953985,0.12513899917805837
7-scenes-redkitchen,9 54,0:00:00.112815,0:00:24.178293,0:00:00.005755,0:00:24.309904,9.532185462273993,0.38386706174670715
7-scenes-redkitchen,9 59,0:00:00.100716,0:00:18.485865,0:00:00.005765,0:00:18.605336,4.653750076835552,0.06898201829894302
7-scenes-redkitchen,10 11,0:00:00.078100,0:00:18.121685,0:00:00.005890,0:00:18.218897,3.039705085572758,0.05719509562926074
7-scenes-redkitchen,10 12,0:00:00.073365,0:00:16.265788,0:00:00.005879,0:00:16.354709,1.9180667228503179,0.03218325701199121
7-scenes-redkitchen,10 13,0:00:00.073713,0:00:13.688769,0:00:00.005854,0:00:13.777894,1.9537813098872585,0.014979123743380887
7-scenes-redkitchen,10 14,0:00:00.078435,0:00:13.191989,0:00:00.005805,0:00:13.286174,5.87006660478935,0.1128072365760804
7-scenes-redkitchen,10 15,0:00:00.080228,0:00:13.917013,0:00:00.005877,0:00:14.012254,2.8942973853135254,0.04928511759025509
7-scenes-redkitchen,10 16,0:00:00.079624,0:00:17.342694,0:00:00.005938,0:00:17.441336,10.128939810325818,0.3044676058892504
7-scenes-redkitchen,10 17,0:00:00.095057,0:00:23.146296,0:00:00.005798,0:00:23.260290,7.4259694151650235,0.2692603794286934
7-scenes-redkitchen,10 18,0:00:00.117641,0:00:26.586436,0:00:00.005845,0:00:26.722948,6.645096401001736,0.22159976517730406
7-scenes-redkitchen,10 19,0:00:00.088232,0:00:21.387336,0:00:00.006009,0:00:21.495155,5.615863891493534,0.23047860721973887
7-scenes-redkitchen,10 20,0:00:00.090462,0:00:21.847409,0:00:00.005639,0:00:21.956676,6.638694856320305,0.26854007197610713
7-scenes-redkitchen,10 25,0:00:00.087481,0:00:21.007692,0:00:00.005808,0:00:21.114332,3.4174095366965918,0.16456729990085006
7-scenes-redkitchen,10 26,0:00:00.100363,0:00:24.574903,0:00:00.005824,0:00:24.695524,2.527932213808304,0.09257748919359096
7-scenes-redkitchen,10 27,0:00:00.112476,0:00:28.840583,0:00:00.005745,0:00:28.972620,8.194139545520049,0.27431263000463557
7-scenes-redkitchen,10 36,0:00:00.100867,0:00:24.886136,0:00:00.005807,0:00:25.002277,8.474640112597244,0.1978683385358048
7-scenes-redkitchen,10 37,0:00:00.089895,0:00:23.775244,0:00:00.005848,0:00:23.884125,10.735877993000276,0.2232941577127052
7-scenes-redkitchen,10 38,0:00:00.078231,0:00:19.032864,0:00:00.005815,0:00:19.130092,10.063742695453092,0.36104360998985413
