folder,examples,time,RRE,RTE
7-scenes-redkitchen,2 12,0:00:02.113598,2.116853655586941,0.0607412277133662
7-scenes-redkitchen,2 13,0:00:03.041849,1.9616146138224397,0.051299636397205965
7-scenes-redkitchen,2 14,0:00:02.029678,2.2730688390874474,0.03932438629854812
7-scenes-redkitchen,2 27,0:00:09.849018,3.0959049934118026,0.17913612757172204
7-scenes-redkitchen,2 28,0:00:02.724514,1.9779692942163816,0.07252877082924511
7-scenes-redkitchen,2 29,0:00:02.743388,1.5119959936243004,0.011344379785124195
7-scenes-redkitchen,2 30,0:00:03.060367,1.8563319470438704,0.05777515294814166
7-scenes-redkitchen,2 31,0:00:01.775871,2.064668860275273,0.025370781828428456
7-scenes-redkitchen,2 40,0:00:02.983004,1.4518439470746254,0.05154313374545776
7-scenes-redkitchen,2 41,0:00:02.893298,1.8564592523859427,0.05627557784368057
7-scenes-redkitchen,2 42,0:00:01.564476,2.0811482135151342,0.051247293058244076
7-scenes-redkitchen,3 4,0:00:01.339195,0.7252847081462658,0.006992023880653749
7-scenes-redkitchen,3 5,0:00:01.582493,0.7362167348710381,0.02698298544631759
7-scenes-redkitchen,3 10,0:00:01.209167,1.995877678500104,0.06867059621939915
7-scenes-redkitchen,3 11,0:00:01.198689,1.0624924970138852,0.015377864944698717
7-scenes-redkitchen,3 12,0:00:01.884604,1.0686225292480096,0.019015052554871598
7-scenes-redkitchen,3 13,0:00:02.133981,1.201916509752129,0.028351477255652645
7-scenes-redkitchen,3 14,0:00:01.026008,1.8792594793985808,0.03478315361652489
7-scenes-redkitchen,3 26,0:00:02.575690,1.9169233492020528,0.05715649166805256
7-scenes-redkitchen,3 27,0:00:07.094534,1.2618795853688696,0.020113529859409292
7-scenes-redkitchen,3 28,0:00:02.671993,1.1671848509473735,0.016066541303512833
7-scenes-redkitchen,3 29,0:00:01.035229,1.3335531834681154,0.014724735072261208
7-scenes-redkitchen,3 30,0:00:01.794066,1.6037293084306063,0.045654880546188326
7-scenes-redkitchen,3 40,0:00:11.958367,2.3748224512810205,0.10323378904813744
7-scenes-redkitchen,3 41,0:00:02.105175,1.1276731666705082,0.03235914241998466
7-scenes-redkitchen,3 42,0:00:01.535309,0.9167153028384918,0.02790247799731606
7-scenes-redkitchen,3 43,0:00:01.114485,1.1636183348379259,0.03750337097429698
